year,total_works,n_scopus,n_wos,n_medline,n_wos_after_deindex,n_scopus_after_deindex,n_medline_after_deindex,n_scopus_deindex,n_wos_deindex,n_medline_deindex,n_wos_journals,n_scopus_journals,n_medline_journals,n_journals,n_retracted,n_retracted_journals,n_paper_mill,n_paper_mill_journals,n_paper_mill_retracted,n_wos_paper_mill_journals,n_paper_mill_wos,n_scopus_paper_mill_journals,n_paper_mill_scopus,n_medline_paper_mill_journals,n_paper_mill_medline
1812,979,129,129,110,0,0,0,0,0,0,2,2,1,14,0,0,0,0,0,0,0,0,0,0,0
1813,889,99,99,99,0,0,0,0,0,0,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0
1814,936,95,95,95,0,0,0,0,0,0,1,1,1,14,0,0,0,0,0,0,0,0,0,0,0
1815,1068,121,101,101,0,0,0,0,0,0,1,2,1,13,0,0,0,0,0,0,0,0,0,0,0
1816,759,110,110,110,0,0,0,0,0,0,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0
1817,793,102,103,102,0,0,0,0,1,0,2,1,1,16,0,0,0,0,0,0,0,0,0,0,0
1818,749,180,153,116,0,0,0,0,37,0,2,3,1,12,0,0,0,0,0,0,0,0,0,0,0
1819,603,111,111,111,0,0,0,0,0,0,1,1,1,14,0,0,0,0,0,0,0,0,0,0,0
1820,654,136,136,134,0,0,0,0,0,0,2,2,1,11,0,0,0,0,0,0,0,0,0,0,0
1821,870,158,158,153,0,0,0,0,0,0,4,4,3,15,0,0,0,0,0,0,0,0,0,0,0
1822,905,281,281,253,0,0,0,0,0,0,4,4,3,15,0,0,0,0,0,0,0,0,0,0,0
1823,1531,698,654,425,0,0,0,0,0,0,4,5,3,17,0,0,0,0,0,0,0,0,0,0,0
1824,1967,1190,1190,969,0,0,0,0,0,0,6,6,5,21,0,0,0,0,0,0,0,0,0,0,0
1825,1915,1266,1266,1041,0,0,0,0,16,0,7,7,5,17,0,0,0,0,0,0,0,0,0,0,0
1826,2326,1680,1639,1372,0,0,0,0,0,0,8,9,6,19,0,0,0,0,0,0,0,0,0,0,0
1827,3019,2104,2104,1903,0,0,0,0,0,0,10,10,7,22,0,0,0,0,0,0,0,0,0,0,0
