PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28955630","Synthesis, characterization and biological applications of mycosynthesized silver nanoparticles","Anbazhagan S, Azeez S, Morukattu G, Rajan R, Venkatesan K, Thangavelu KP.","3 Biotech. 2017 Oct;7(5):333. doi: 10.1007/s13205-017-0961-9. Epub 2017 Sep 19.","Anbazhagan S","3 Biotech","2017","2017/09/29","PMC5603452","","10.1007/s13205-017-0961-9"
"37049336","Role of Honey as a Bifunctional Reducing and Capping/Stabilizing Agent: Application for Silver and Zinc Oxide Nanoparticles","Bahari N, Hashim N, Abdan K, Md Akim A, Maringgal B, Al-Shdifat L.","Nanomaterials (Basel). 2023 Mar 31;13(7):1244. doi: 10.3390/nano13071244.","Bahari N","Nanomaterials (Basel)","2023","2023/04/13","PMC10097146","","10.3390/nano13071244"
"34834169","Green Synthesized Silver Nanoparticles Using Tridax Procumbens for Topical Application: Excision Wound Model and Histopathological Studies","Fatima F, Aldawsari MF, Ahmed MM, Anwer MK, Naz M, Ansari MJ, Hamad AM, Zafar A, Jafar M.","Pharmaceutics. 2021 Oct 21;13(11):1754. doi: 10.3390/pharmaceutics13111754.","Fatima F","Pharmaceutics","2021","2021/11/27","PMC8623640","","10.3390/pharmaceutics13111754"
"21817628","Green synthesis of highly stabilized nanocrystalline silver particles by a non-pathogenic and agriculturally important fungus T. asperellum","Mukherjee P, Roy M, Mandal BP, Dey GK, Mukherjee PK, Ghatak J, Tyagi AK, Kale SP.","Nanotechnology. 2008 Feb 20;19(7):075103. doi: 10.1088/0957-4484/19/7/075103. Epub 2008 Jan 29.","Mukherjee P","Nanotechnology","2008","2011/08/06","","","10.1088/0957-4484/19/7/075103"
"33546151","Green Synthesis of Silver Nanoparticles Using Annona muricata Extract as an Inducer of Apoptosis in Cancer Cells and Inhibitor for NLRP3 Inflammasome via Enhanced Autophagy","Jabir MS, Saleh YM, Sulaiman GM, Yaseen NY, Sahib UI, Dewir YH, Alwahibi MS, Soliman DA.","Nanomaterials (Basel). 2021 Feb 3;11(2):384. doi: 10.3390/nano11020384.","Jabir MS","Nanomaterials (Basel)","2021","2021/02/06","PMC7913157","","10.3390/nano11020384"
"33113789","Sustainable One-Step Solid-State Synthesis of Antibacterially Active Silver Nanoparticles Using Mechanochemistry","Kováčová M, Daneu N, Tkáčiková Ľ, Búreš R, Dutková E, Stahorský M, Bujňáková ZL, Baláž M.","Nanomaterials (Basel). 2020 Oct 25;10(11):2119. doi: 10.3390/nano10112119.","Kováčová M","Nanomaterials (Basel)","2020","2020/10/29","PMC7692266","","10.3390/nano10112119"
"37663485","Antibacterial Efficacy of Green Synthesized Silver Nanoparticles Using Salvia nubicola Extract against Ralstonia solanacearum, the Causal Agent of Vascular Wilt of Tomato","Dilbar S, Sher H, Ali H, Ullah R, Ali A, Ullah Z.","ACS Omega. 2023 Aug 17;8(34):31155-31167. doi: 10.1021/acsomega.3c03164. eCollection 2023 Aug 29.","Dilbar S","ACS Omega","2023","2023/09/04","PMC10468922","","10.1021/acsomega.3c03164"
"23519327","Antioxidant activity of the stem bark of Shorea roxburghii and its silver reducing power","Subramanian R, Subbramaniyan P, Raj V.","Springerplus. 2013 Dec;2(1):28. doi: 10.1186/2193-1801-2-28. Epub 2013 Jan 29.","Subramanian R","Springerplus","2013","2013/03/23","PMC3601264","","10.1186/2193-1801-2-28"
"24075535","Formation and characterization of silver nanoparticles in aqueous solution via ultrasonic irradiation","He C, Liu L, Fang Z, Li J, Guo J, Wei J.","Ultrason Sonochem. 2014 Mar;21(2):542-8. doi: 10.1016/j.ultsonch.2013.09.003. Epub 2013 Sep 13.","He C","Ultrason Sonochem","2014","2013/10/01","","","10.1016/j.ultsonch.2013.09.003"
"32957557","Green Synthesis, Characterization, Antimicrobial, Anti-Cancer, and Optimization of Colorimetric Sensing of Hydrogen Peroxide of Algae Extract Capped Silver Nanoparticles","Elgamouz A, Idriss H, Nassab C, Bihi A, Bajou K, Hasan K, Abu Haija M, Patole SP.","Nanomaterials (Basel). 2020 Sep 17;10(9):1861. doi: 10.3390/nano10091861.","Elgamouz A","Nanomaterials (Basel)","2020","2020/09/22","PMC7557820","","10.3390/nano10091861"
"38024691","Synthesis of Biodegradable and Antimicrobial Nanocomposite Films Reinforced for Coffee and Agri-Food Product Preservation","Nguyen QL, Le DV, Phan AN, Nguyen VD.","ACS Omega. 2023 Nov 2;8(45):42177-42185. doi: 10.1021/acsomega.3c04017. eCollection 2023 Nov 14.","Nguyen QL","ACS Omega","2023","2023/11/29","PMC10652363","","10.1021/acsomega.3c04017"
"35017954","Antimicrobial Efficacy of Green Synthesis of Silver Nanoparticles against Cariogenic Pathogens - An In vitro Study","Chittrarasu M, Ahamed AS, Ravi V.","J Pharm Bioallied Sci. 2021 Nov;13(Suppl 2):S1188-S1192. doi: 10.4103/jpbs.jpbs_338_21. Epub 2021 Nov 10.","Chittrarasu M","J Pharm Bioallied Sci","2021","2022/01/12","PMC8686925","","10.4103/jpbs.jpbs_338_21"
"35269031","Silver and Gold Nanoparticles for Antimicrobial Purposes against Multi-Drug Resistance Bacteria","Rabiee N, Ahmadi S, Akhavan O, Luque R.","Materials (Basel). 2022 Feb 27;15(5):1799. doi: 10.3390/ma15051799.","Rabiee N","Materials (Basel)","2022","2022/03/10","PMC8911831","","10.3390/ma15051799"
"33371293","Effect of Plant Extracts on the Characteristics of Silver Nanoparticles for Topical Application","Siakavella IK, Lamari F, Papoulis D, Orkoula M, Gkolfi P, Lykouras M, Avgoustakis K, Hatziantoniou S.","Pharmaceutics. 2020 Dec 21;12(12):1244. doi: 10.3390/pharmaceutics12121244.","Siakavella IK","Pharmaceutics","2020","2020/12/29","PMC7767050","","10.3390/pharmaceutics12121244"
